filename,file_id,status,malicious,harmless,suspicious,undetected,date,time,user,final_path
Actividad-1_Expertos_BBDD.pdf,YjExNmE0ODc3MGQ0MjAxMGNkMWQxNDBmOGFlYTU4NTk6MTczNzcyMTc5Mw==,safe,0,0,0,63,2025-01-24,12:32:44,www-data,/var/www/html/sano/Actividad-1_Expertos_BBDD.pdf
Estudio de Mercado - Entrega Fase 0.pdf,N2M3YjVjNTk5MzViZDNmMGVlZGQxYzk5MDk4YTdlMmM6MTczNzcyNjQ5OQ==,safe,0,0,0,57,2025-01-24,13:51:11,www-data,/var/www/html/sano/Estudio de Mercado - Entrega Fase 0.pdf
Estudio de Mercado - Entrega Fase 0.pdf,N2M3YjVjNTk5MzViZDNmMGVlZGQxYzk5MDk4YTdlMmM6MTczNzcyNjQ5OQ==,safe,0,0,0,57,2025-01-24,13:55:26,www-data,/var/www/html/sano/Estudio de Mercado - Entrega Fase 0.pdf
YearOfTheFOX-CarolinaMoreno.pdf,Y2M0MWQ0OWI0ZGUzYzZmMmUwNDg3YzBjMmFjMTQwYmE6MTczNzcyOTI2Nw==,safe,0,0,0,62,2025-01-24,14:37:03,www-data,/var/www/html/sano/YearOfTheFOX-CarolinaMoreno.pdf
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzcyOTcxNg==,safe,0,0,0,61,2025-01-24,14:43:14,www-data,/var/www/html/sano/adios.txt
hola.txt,NGFlOTkxM2Q3MGVhMmU4ZDQxNzJjMGFjMWFiYmI0NDE6MTczNzcyOTc5NQ==,safe,0,0,0,61,2025-01-24,14:43:47,www-data,/var/www/html/sano/hola.txt
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzczMzAzNQ==,safe,0,0,0,61,2025-01-24,15:37:46,www-data,/var/www/html/sano/adios.txt
hola.txt,NGFlOTkxM2Q3MGVhMmU4ZDQxNzJjMGFjMWFiYmI0NDE6MTczNzczMzA2Nw==,safe,0,0,0,61,2025-01-24,15:39:05,www-data,/var/www/html/sano/hola.txt
Nuevo documento de texto.txt,ODJiNGZlNDBiZTZiNjFjZjY2OWRjZDY4YzBhOTg5MGM6MTczNzczMzE0NQ==,safe,0,0,0,61,2025-01-24,15:39:53,www-data,/var/www/html/sano/Nuevo documento de texto.txt
adios.txt,MWQ2ZTE3MzNiZDJmMDUzYzFmYjkzNDc1ZDY4OTUxZDk6MTczNzczMzc3OA==,safe,0,0,0,61,2025-01-24,15:50:10,www-data,/var/www/html/sano/adios.txt
hola.txt,NGFlOTkxM2Q3MGVhMmU4ZDQxNzJjMGFjMWFiYmI0NDE6MTczNzczMzA2Nw==,safe,0,0,0,61,2025-01-24,15:50:11,www-data,/var/www/html/sano/hola.txt
